,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
136,0.8519,0.0,0.684,0.316,03-05-2018 03:42:31,"RT @CBSThisMorning: With this win, James Ivory (#CallMeByYourName) just became the oldest Oscar winner ever at 89.
#Oscars-- @ErikDavis htt…",36,@CBSNews
137,0.8957,0.0,0.546,0.454,03-05-2018 01:25:52,"Sam Rockwell wins best actor in a supporting role for ""Three Billboards outside Ebbing, Missouri. #Oscars… https://t.co/g5kxxhWKke",37,@CBSNews
138,-0.5267,0.216,0.784,0.0,03-04-2018 20:42:31,North Korea says President Trump's demand that it abandon its nuclear program as a precondition to diplomatic negot… https://t.co/iXsvrUoT5k,38,@CBSNews
139,0.3818,0.098,0.697,0.205,03-04-2018 14:21:01,"""Nobody does self-deprecating humor better than I do. It's not even close,"" Pres. Trump puts aside feud with the me… https://t.co/RlQidLI95L",39,@CBSNews
140,0.0,0.0,1.0,0.0,03-04-2018 09:18:07,Carl Icahn unloaded millions in steel-related stock days before Trump tariff https://t.co/sqVKXhzyBp https://t.co/y9Za2EAbCW,40,@CBSNews
141,-0.6369,0.302,0.698,0.0,03-04-2018 05:18:08,Kansas man wrongfully imprisoned for 23 years receives no compensation from state https://t.co/EMImOMwjLw https://t.co/MlRtyWUnUx,41,@CBSNews
142,-0.802,0.481,0.374,0.145,03-04-2018 01:33:05,"Friends defend Joshua Tree couple accused of child cruelty, abuse https://t.co/ZiOBcfgCkF https://t.co/6GtIgdRlmJ",42,@CBSNews
143,0.4215,0.0,0.859,0.141,03-03-2018 20:42:01,"Northeast coast braced for more flooding during high tides Saturday, as powerful nor'easter that inundated roads, s… https://t.co/HZL0cy7wt1",43,@CBSNews
144,-0.802,0.481,0.374,0.145,03-03-2018 16:00:03,"Friends defend Joshua Tree couple accused of child cruelty, abuse https://t.co/ggSgbhZQ0o https://t.co/R8QaSnXaYi",44,@CBSNews
145,-0.5267,0.355,0.645,0.0,03-03-2018 11:18:08,Disneyland workers struggle with low wages and homelessness https://t.co/IekdzAi5Q2 https://t.co/eYMwH6k8cV,45,@CBSNews
146,-0.6369,0.276,0.724,0.0,03-03-2018 06:33:05,First male athlete sues Larry Nassar over alleged sexual abuse https://t.co/PIOfLR22YO https://t.co/cZCpMA6fWG,46,@CBSNews
147,0.296,0.0,0.885,0.115,03-03-2018 02:10:01,Media-savvy Stoneman Douglas students in broadcast journalism class share what they've sworn off in wake of shootin… https://t.co/uWWkprtUYi,47,@CBSNews
148,-0.3182,0.112,0.837,0.051,03-02-2018 22:41:32,"Outspoken Florida sheriff on defensive as he takes heat from Republicans, gun rights activists who believe he is fo… https://t.co/YLM8RUzdy0",48,@CBSNews
149,-0.6369,0.181,0.819,0.0,03-02-2018 15:56:42,"JUST IN: Two people have been fatally shot at Central Michigan University, campus police say; deceased are not stud… https://t.co/eQYAHchzcQ",49,@CBSNews
150,-0.6486,0.23,0.723,0.047,03-02-2018 13:17:03,"As the assault on Eastern Ghouta continues, the Syrian army, backed by Russian airstrikes aimed at rebel forces, sa… https://t.co/gkyOvwPql0",50,@CBSNews
151,0.1779,0.104,0.763,0.133,03-02-2018 12:00:02,"A major Nor'easter is starting to slam the East Coast with heavy rain, some heavy snow, strong winds and the prospe… https://t.co/TsgJJbgK90",51,@CBSNews
152,0.0,0.0,1.0,0.0,03-02-2018 07:48:05,"Did Melania Trump really qualify for her ""Einstein visa""? https://t.co/SwVJpgR8Jn https://t.co/Tqr3MTekeA",52,@CBSNews
153,-0.7184,0.25,0.75,0.0,03-02-2018 03:05:49,"@CBSNews In follow up question, if gun ban should be looked as case-by-case basis depending on state, O'Malley said… https://t.co/8VII1bXMHO",53,@CBSNews
154,0.0,0.0,1.0,0.0,03-01-2018 22:15:01,Your Facebook news feed won't be splitting up after all. The social network ended a test in six countries that show… https://t.co/TSF5JuLZFY,54,@CBSNews
